reconstruction_error,label
0.1955739296448097,DoS
0.17054551070635163,DoS
0.12725109793539816,DoS
0.06640431107072702,Normal
0.08985278154866301,BruteForce
0.21859442703972426,DoS
0.18323412647846332,DoS
0.11143836019385078,Normal
0.30546275793003524,PortScan
0.2972498963087924,Normal
0.2874004790776737,Normal
0.32853170131508264,DoS
0.28128892923460985,DoS
0.26846663345068317,Normal
0.34131372668225207,Normal
0.3598391212752357,DoS
0.6460150093221417,Normal
0.6910660543288353,DoS
0.4242205616326524,Normal
0.4165265715260937,Normal
0.41745210552024803,Normal
0.5227381345931312,PortScan
0.5767363658292463,DoS
0.5558530379864364,Normal
0.5253561945501751,PortScan
0.5331259900299188,Normal
0.29269670231868267,Normal
0.298987879365032,Normal
0.37913593186645284,DoS
0.3083538714090997,Normal
0.36691047047645275,DoS
0.22704071358167005,DoS
0.31052202079444496,DoS
0.2801423870583508,Normal
0.30492822043986023,Normal
0.2867035738782233,Normal
0.38272677047903514,DoS
0.6249465893947311,DoS
0.5964923346426384,Normal
0.6201080851566787,BruteForce
0.6649460747575082,DoS
0.5954767912588181,Normal
0.6344182091967521,DoS
0.9872440385426313,DoS
0.8450545615794892,Normal
0.8586064763408789,Normal
0.8862792187702855,Normal
0.6116194030653099,PortScan
0.6081082426794141,DoS
0.5811956825178192,DoS
0.6019662549311899,Normal
0.6237479263326302,Normal
0.6446415747931019,DoS
0.33729375977917747,PortScan
0.3045016962247294,Normal
0.30409968140194527,DoS
0.2715898494593659,Normal
0.3611602660273764,PortScan
0.3369764955874128,DoS
0.336831627834877,DoS
0.262441914051304,DoS
0.28120055330091703,Normal
0.2570203760925392,DoS
0.23383428902437173,Normal
0.2521720024432307,Normal
0.2807459782007655,DoS
0.26813077143020514,Normal
0.28621489198303995,DoS
0.21540259657192495,Normal
0.1823526374377126,Normal
0.2577155125822205,DoS
0.20809346796521594,Normal
0.27767369871855024,DoS
0.14683158101988886,DoS
0.222868657389012,PortScan
0.2083680933422313,Normal
0.24248972720123677,DoS
0.21144807235302673,Normal
0.3291328059376977,DoS
0.3681948222341301,DoS
0.2990984675238326,Normal
0.2899379556951747,Normal
0.27555645489992864,Normal
0.3101152832921501,Normal
0.2190887572713292,DoS
0.21392272474713575,DoS
0.24448441411911706,Normal
0.2705096411604573,Normal
0.2696475256644105,Normal
0.3210516877336297,Normal
0.28749355640284713,DoS
0.2348406982209751,Normal
0.22783255769417066,Normal
0.2617034805623384,Normal
0.23612164562667484,Normal
0.5992178398581393,DoS
0.5747081788588837,Normal
0.5447889063752335,Normal
0.5583128449499458,Normal
0.5081884784769181,Normal
0.5417418737938988,Normal
0.5325524416061589,Normal
0.6540204963494919,Normal
0.6022511361983982,Normal
0.5920906235935719,Normal
0.22085595182497197,Normal
0.4200317281947318,PortScan
0.5050244938672098,DoS
0.5501224949759442,Normal
0.5404382592526227,Normal
0.4056231035691629,Normal
0.7669228623420861,DoS
0.7250145474251778,DoS
0.46346666655952146,DoS
0.5037716520961106,Normal
0.5166613939634243,DoS
0.21072869913027933,Normal
0.19640687641222032,Normal
0.1753646541183597,Normal
0.17599978811710637,Normal
0.3226694471904355,Normal
0.39933784017118173,DoS
0.4506684561853634,DoS
0.35661513345952095,Normal
0.34074816063653796,Normal
0.3504028822039711,DoS
0.36479796345228915,DoS
0.3982165836362324,Normal
0.3378532047688965,Normal
0.4642835269062203,DoS
0.29403806843545116,DoS
0.261775062709597,Normal
0.31327650147114044,DoS
0.4082374541496601,DoS
0.3270524794983116,Normal
0.29161961903076933,Normal
0.27147012137573173,Normal
0.3466603493665013,PortScan
0.27052139887511567,Normal
0.23975558860561944,BruteForce
0.3299521734359541,DoS
